"candidate","rep","arm","ok","nrmse","mae","bias","reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","tail_under_rate","pmm2_share","pmm3_share","layers","nrmse_winner","reserve_winner"
"fremtpl2_severity_raw",1,"PMM-auto",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"PMM-relaxed",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"PMM2-forced",TRUE,1.0091617632307,3428.72180394003,1357.24519205824,0.551467099077275,0.105,10360.1990522809,-10272.9326927098,-0.718533552778805,0.92,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"LSE",TRUE,1.00820003648823,3457.04086555742,1359.35005404636,0.552322333003607,0.112,10456.5370899285,-10455.9747392875,-0.731336308911793,0.99,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"ridge-LSE",TRUE,1.00820003648823,3457.04086555741,1359.35005404635,0.552322333003555,0.112,10456.5370899285,-10455.9747392874,-0.731336308911792,0.99,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",1,"Huber",TRUE,1.00731500946525,1800.60877557396,-1306.50140418472,-0.53084921097678,0.54,13097.4179650627,-13097.4179650627,-0.916090326313922,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",1,"L1",TRUE,1.00736197824285,1787.47975610558,-1288.01992274534,-0.523339934822653,0.512,13120.3022977317,-13120.3022977317,-0.917690955982927,1,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",2,"PMM-auto",TRUE,1.15158042576786,4041.09642738627,123.645178628761,0.0437928743968645,0.23,16414.5757916505,-15305.2964009274,-0.843755402627285,0.98,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"PMM-relaxed",TRUE,1.1148131390008,3680.29474182432,194.745593053367,0.0689753485781734,0.212,16335.7255220463,-14784.5665228733,-0.815048435025471,0.94,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"PMM2-forced",TRUE,1.1148131390008,3680.29474182432,194.745593053367,0.0689753485781734,0.212,16335.7255220463,-14784.5665228733,-0.815048435025471,0.94,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"LSE",TRUE,1.15848290666576,3751.13843732304,51.3078269041656,0.0181722995114628,0.2,16599.837622108,-14908.1407653933,-0.821860876419649,0.98,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",2,"ridge-LSE",TRUE,1.15848290666059,3751.13843731525,51.3078269104853,0.0181722995137017,0.2,16599.8376221066,-14908.1407653919,-0.82186087641957,0.98,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",2,"Huber",TRUE,1.00751550533337,2164.01663256516,-1666.16810105686,-0.590126450403104,0.523,16946.5710964371,-16946.5710964371,-0.934236132647504,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",2,"L1",TRUE,1.0080326546795,2160.30175396387,-1662.57671753204,-0.588854447650082,0.508,16960.61921689,-16960.61921689,-0.935010582041913,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"PMM-auto",TRUE,1.00289946032315,3620.13320073917,1337.35910207953,0.541071743650349,0.081,11549.2980834969,-11278.4429030996,-0.739546535525102,0.81,0.333333333333333,0,3,TRUE,FALSE
"fremtpl2_severity_raw",3,"PMM-relaxed",TRUE,1.00289946032315,3620.13320073917,1337.35910207953,0.541071743650349,0.081,11549.2980834969,-11278.4429030996,-0.739546535525102,0.81,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"PMM2-forced",TRUE,1.00289946032315,3620.13320073917,1337.35910207953,0.541071743650349,0.081,11549.2980834969,-11278.4429030996,-0.739546535525102,0.81,0.333333333333333,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"LSE",TRUE,1.00672106046167,3677.24129677857,1347.15924556439,0.545036707671736,0.092,11702.7288108781,-11428.726047265,-0.749400854917437,0.76,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"ridge-LSE",TRUE,1.00672106046166,3677.24129677854,1347.1592455644,0.545036707671689,0.092,11702.728810878,-11428.726047265,-0.749400854917436,0.76,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"Huber",TRUE,1.00520450229309,1841.36994777791,-1300.95561184809,-0.5263435379621,0.47,14049.6520625327,-14049.6520625327,-0.921259397015131,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",3,"L1",TRUE,1.00544799462695,1830.72225667257,-1282.03161939176,-0.518687226669754,0.438,14055.3147759213,-14055.3147759213,-0.921630710688857,1,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",4,"PMM-auto",TRUE,0.997477254084595,4270.09543223294,-165.768703269007,-0.0480386412293473,0.138,22076.7520206271,-21659.9025997311,-0.870243464268671,0.86,0.166666666666667,0,3,FALSE,FALSE
"fremtpl2_severity_raw",4,"PMM-relaxed",TRUE,0.997477254084595,4270.09543223294,-165.768703269007,-0.0480386412293473,0.138,22076.7520206271,-21659.9025997311,-0.870243464268671,0.86,0.166666666666667,0,3,FALSE,FALSE
"fremtpl2_severity_raw",4,"PMM2-forced",TRUE,0.997477254084595,4270.09543223294,-165.768703269007,-0.0480386412293473,0.138,22076.7520206271,-21659.9025997311,-0.870243464268671,0.86,0.166666666666667,0,3,FALSE,FALSE
"fremtpl2_severity_raw",4,"LSE",TRUE,0.997299105525532,4351.33680398522,-104.976872659759,-0.0304215827453109,0.132,22125.6842432335,-21545.2723437479,-0.865637892723856,0.86,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",4,"ridge-LSE",TRUE,0.997299105525527,4351.33680398514,-104.97687265947,-0.0304215827452284,0.132,22125.6842432334,-21545.2723437479,-0.865637892723854,0.86,0,0,3,TRUE,TRUE
"fremtpl2_severity_raw",4,"Huber",TRUE,1.00084438079547,2794.03439330917,-2278.25907310157,-0.660223963160416,0.488,23658.9251973638,-23658.9251973638,-0.95055944641611,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",4,"L1",TRUE,1.00094604174447,2778.45850602358,-2273.5836736821,-0.658869064250751,0.497,23699.9349566603,-23699.9349566603,-0.952207121184482,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"PMM-auto",TRUE,1.10363355988458,3484.00695751285,1649.76954800242,0.800803231438261,0.155,8272.61184320872,-7182.79368039384,-0.658119107751572,0.76,0.222222222222222,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"PMM-relaxed",TRUE,1.10363355988458,3484.00695751285,1649.76954800242,0.800803231438261,0.155,8272.61184320872,-7182.79368039384,-0.658119107751572,0.76,0.222222222222222,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"PMM2-forced",TRUE,1.10363355988458,3484.00695751285,1649.76954800242,0.800803231438261,0.155,8272.61184320872,-7182.79368039384,-0.658119107751572,0.76,0.222222222222222,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"LSE",TRUE,1.05618409803348,3343.4879635885,1754.64665633499,0.851710903578483,0.114,8185.20262973276,-7279.67793594502,-0.666996068813751,0.77,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"ridge-LSE",TRUE,1.0561840980334,3343.48796358893,1754.64665633561,0.851710903578782,0.114,8185.20262973041,-7279.6779359449,-0.666996068813739,0.77,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",5,"Huber",TRUE,1.0037127946648,1412.36158415859,-894.742892351382,-0.434310962018282,0.503,9713.78424876199,-9713.78424876199,-0.890019581118748,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",5,"L1",TRUE,1.00420373160905,1404.02678827284,-876.46390217376,-0.425438283758827,0.488,9724.30666200388,-9724.30666200388,-0.890983690840157,1,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",6,"PMM-auto",TRUE,0.999215593154942,3363.32672372665,-750.641699972498,-0.23132257060418,0.152,20498.8640397376,-20127.3304507018,-0.876787561782376,0.88,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",6,"PMM-relaxed",TRUE,0.999215593154942,3363.32672372665,-750.641699972498,-0.23132257060418,0.152,20498.8640397376,-20127.3304507018,-0.876787561782376,0.88,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",6,"PMM2-forced",TRUE,0.999215593154942,3363.32672372665,-750.641699972498,-0.23132257060418,0.152,20498.8640397376,-20127.3304507018,-0.876787561782376,0.88,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",6,"LSE",TRUE,0.99734301856968,3407.21405417175,-697.960512027491,-0.215087997147407,0.14,20464.8327500338,-20403.7859305806,-0.888830526284696,0.95,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",6,"ridge-LSE",TRUE,0.997343018569685,3407.21405417187,-697.960512027346,-0.215087997147362,0.14,20464.8327500338,-20403.7859305804,-0.88883052628469,0.95,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",6,"Huber",TRUE,1.00044821222321,2618.75469081904,-2071.96323695204,-0.638509507514254,0.502,21732.2682084598,-21732.2682084598,-0.94670192359423,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",6,"L1",TRUE,1.00054355904773,2596.59580221092,-2074.74883401421,-0.639367935007839,0.504,21773.6783049674,-21773.6783049674,-0.948505831849179,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",7,"PMM-auto",TRUE,0.999522231259864,3877.98983016222,-1854.04147981413,-0.45965740095863,0.203,28096.7812285062,-28096.7812285062,-0.922357119206049,1,0.166666666666667,0,3,TRUE,FALSE
"fremtpl2_severity_raw",7,"PMM-relaxed",TRUE,0.999522231259864,3877.98983016222,-1854.04147981413,-0.45965740095863,0.203,28096.7812285062,-28096.7812285062,-0.922357119206049,1,0.166666666666667,0,3,FALSE,FALSE
"fremtpl2_severity_raw",7,"PMM2-forced",TRUE,0.999522231259864,3877.98983016222,-1854.04147981413,-0.45965740095863,0.203,28096.7812285062,-28096.7812285062,-0.922357119206049,1,0.166666666666667,0,3,FALSE,FALSE
"fremtpl2_severity_raw",7,"LSE",TRUE,0.999633639884638,3910.9714249129,-1838.51161864704,-0.455807208986644,0.2,28129.5357842616,-28086.5175221737,-0.922020183721223,0.97,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",7,"ridge-LSE",TRUE,0.999633639884635,3910.97142491287,-1838.51161864691,-0.455807208986609,0.2,28129.5357842619,-28086.5175221737,-0.922020183721225,0.97,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",7,"Huber",TRUE,1.00131142875461,3373.84722705823,-2866.41948544934,-0.710648033004582,0.516,29246.2805317739,-29246.2805317739,-0.960092718072999,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",7,"L1",TRUE,1.00138183372419,3359.78245841872,-2854.08651839654,-0.707590420948262,0.507,29272.8718753258,-29272.8718753258,-0.96096565489928,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",8,"PMM-auto",TRUE,0.99972531890207,4781.26543922582,-889.042826829881,-0.217048782129927,0.122,28202.4272459525,-27911.038208526,-0.886933891799544,0.83,0.166666666666667,0,3,FALSE,TRUE
"fremtpl2_severity_raw",8,"PMM-relaxed",TRUE,0.99972531890207,4781.26543922582,-889.042826829881,-0.217048782129927,0.122,28202.4272459525,-27911.038208526,-0.886933891799544,0.83,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",8,"PMM2-forced",TRUE,0.99972531890207,4781.26543922582,-889.042826829881,-0.217048782129927,0.122,28202.4272459525,-27911.038208526,-0.886933891799544,0.83,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",8,"LSE",TRUE,0.99972531890207,4781.26543922582,-889.042826829881,-0.217048782129927,0.122,28202.4272459525,-27911.038208526,-0.886933891799544,0.83,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",8,"ridge-LSE",TRUE,0.999725318902067,4781.26543922449,-889.042826829923,-0.217048782129944,0.122,28202.4272459508,-27911.0382085281,-0.886933891799612,0.83,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",8,"Huber",TRUE,1.00138432669032,3509.03461124733,-2916.87004744723,-0.712117653192465,0.469,30249.5476758585,-30249.5476758585,-0.961245111875827,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",8,"L1",TRUE,1.0025169416121,3561.91548665243,-2844.90232399829,-0.694547625904853,0.46,30275.7605923998,-30275.7605923998,-0.96207808426151,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM-auto",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM-relaxed",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"PMM2-forced",TRUE,1.00587942855592,2541.10725454,-329.835846823494,-0.128605023205887,0.202,13087.4431420222,-13011.3101473783,-0.854521888321865,0.952380952380952,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"LSE",TRUE,1.01106297604868,2622.8406356158,-299.345410375775,-0.116716614700019,0.215,13254.739742593,-12868.0614243814,-0.845113983361606,0.942857142857143,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"ridge-LSE",TRUE,1.01106297604867,2622.84063561589,-299.345410375549,-0.11671661469993,0.215,13254.7397425922,-12868.0614243818,-0.845113983361633,0.942857142857143,0,0,3,FALSE,TRUE
"fremtpl2_severity_raw",9,"Huber",TRUE,1.00528744465876,1938.07706322557,-1406.38194971439,-0.548356963080931,0.495,14044.5568480865,-14044.5568480865,-0.922380690532454,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",9,"L1",TRUE,1.00519636696397,1920.44413552277,-1391.233211882,-0.542450377125412,0.497,14048.2334379742,-14048.2334379742,-0.922622151730276,1,0,0,3,TRUE,FALSE
"fremtpl2_severity_raw",10,"PMM-auto",TRUE,0.996336394070888,4360.72996819423,-882.384306508886,-0.23469031551671,0.21,25453.05307414,-24849.0807789581,-0.897716053293712,0.891089108910891,0.111111111111111,0,3,TRUE,FALSE
"fremtpl2_severity_raw",10,"PMM-relaxed",TRUE,0.997572439934082,4449.62201360913,-878.147881675875,-0.233563541305756,0.232,25359.6336019942,-24857.3348187,-0.898014244765936,0.861386138613861,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",10,"PMM2-forced",TRUE,0.997572439934082,4449.62201360913,-878.147881675875,-0.233563541305756,0.232,25359.6336019942,-24857.3348187,-0.898014244765936,0.861386138613861,0.222222222222222,0,3,FALSE,TRUE
"fremtpl2_severity_raw",10,"LSE",TRUE,0.999338562810063,4222.04173052196,-930.86558053026,-0.247585020706724,0.187,25108.9336426784,-24868.5596276363,-0.898419760417272,0.910891089108911,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"ridge-LSE",TRUE,0.999338562810055,4222.04173052147,-930.865580530575,-0.247585020706809,0.187,25108.9336426764,-24868.559627636,-0.898419760417262,0.910891089108911,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"Huber",TRUE,1.00128096833425,3114.72928187127,-2606.26456866691,-0.693195753175261,0.509,26504.3791747761,-26504.3791747761,-0.957516572924018,1,0,0,3,FALSE,FALSE
"fremtpl2_severity_raw",10,"L1",TRUE,1.00131802223506,3105.47654628652,-2581.2493671409,-0.686542387407591,0.498,26498.9889112136,-26498.9889112136,-0.957321840323058,1,0,0,3,FALSE,FALSE
