"tail_weight","estimator","claim_decile","observed_sum_mean","predicted_sum_mean","reserve_error_mean","observed_mean","predicted_mean"
1,"Huber",1,8370.2,113445.4,12.697,83.7,1134.5
1,"Huber",2,36026,117179.5,2.26,360.3,1171.8
1,"Huber",3,66192.5,115595.5,0.748,661.9,1156
1,"Huber",4,105339.3,114424.9,0.087,1053.4,1144.2
1,"Huber",5,115079.1,114529.9,-0.005,1150.8,1145.3
1,"Huber",6,118658.4,114171.7,-0.038,1186.6,1141.7
1,"Huber",7,122862.8,116318.9,-0.053,1228.6,1163.2
1,"Huber",8,156280.2,118219,-0.241,1562.8,1182.2
1,"Huber",9,249594.9,116912.6,-0.531,2495.9,1169.1
1,"Huber",10,2084172,120194.1,-0.939,20841.7,1201.9
1,"L1",1,8370.2,118650.2,13.306,83.7,1186.5
1,"L1",2,36026,119343.5,2.319,360.3,1193.4
1,"L1",3,66192.5,117455.5,0.776,661.9,1174.6
1,"L1",4,105339.3,118369.2,0.124,1053.4,1183.7
1,"L1",5,115079.1,118381,0.029,1150.8,1183.8
1,"L1",6,118658.4,118582,-0.001,1186.6,1185.8
1,"L1",7,122862.8,117774.2,-0.041,1228.6,1177.7
1,"L1",8,156280.2,117624.4,-0.246,1562.8,1176.2
1,"L1",9,249594.9,119729.6,-0.519,2495.9,1197.3
1,"L1",10,2084172,118676.8,-0.94,20841.7,1186.8
1,"LSE",1,8370.2,297677.4,34.89,83.7,2976.8
1,"LSE",2,36026,327595.2,8.188,360.3,3276
1,"LSE",3,66192.5,294214.7,3.456,661.9,2942.1
1,"LSE",4,105339.3,254745.8,1.419,1053.4,2547.5
1,"LSE",5,115079.1,297099.1,1.583,1150.8,2971
1,"LSE",6,118658.4,263425.9,1.22,1186.6,2634.3
1,"LSE",7,122862.8,263859.3,1.148,1228.6,2638.6
1,"LSE",8,156280.2,279621.7,0.8,1562.8,2796.2
1,"LSE",9,249594.9,296262.2,0.193,2495.9,2962.6
1,"LSE",10,2084172,335359.4,-0.83,20841.7,3353.6
1,"PMM-auto",1,8370.2,282490.4,33.335,83.7,2824.9
1,"PMM-auto",2,36026,323443.7,8.076,360.3,3234.4
1,"PMM-auto",3,66192.5,290164.8,3.393,661.9,2901.6
1,"PMM-auto",4,105339.3,252906.2,1.402,1053.4,2529.1
1,"PMM-auto",5,115079.1,296077,1.574,1150.8,2960.8
1,"PMM-auto",6,118658.4,263314,1.219,1186.6,2633.1
1,"PMM-auto",7,122862.8,263376.8,1.144,1228.6,2633.8
1,"PMM-auto",8,156280.2,283948.5,0.828,1562.8,2839.5
1,"PMM-auto",9,249594.9,295120.8,0.188,2495.9,2951.2
1,"PMM-auto",10,2084172,331275.7,-0.831,20841.7,3312.8
1,"PMM-relaxed",1,8370.2,284715.7,33.583,83.7,2847.2
1,"PMM-relaxed",2,36026,329038.7,8.225,360.3,3290.4
1,"PMM-relaxed",3,66192.5,297040.1,3.495,661.9,2970.4
1,"PMM-relaxed",4,105339.3,261253.1,1.479,1053.4,2612.5
1,"PMM-relaxed",5,115079.1,298145.2,1.592,1150.8,2981.5
1,"PMM-relaxed",6,118658.4,270567.2,1.28,1186.6,2705.7
1,"PMM-relaxed",7,122862.8,262946.4,1.14,1228.6,2629.5
1,"PMM-relaxed",8,156280.2,281918.3,0.815,1562.8,2819.2
1,"PMM-relaxed",9,249594.9,278703.9,0.12,2495.9,2787
1,"PMM-relaxed",10,2084172,296151.6,-0.85,20841.7,2961.5
2,"Huber",1,8370.2,113453.1,12.698,83.7,1134.5
2,"Huber",2,36026,117155.7,2.259,360.3,1171.6
2,"Huber",3,66192.5,115568,0.748,661.9,1155.7
2,"Huber",4,105339.3,114408.3,0.087,1053.4,1144.1
2,"Huber",5,115079.1,114394.7,-0.006,1150.8,1143.9
2,"Huber",6,118658.4,114210.8,-0.037,1186.6,1142.1
2,"Huber",7,122862.8,116295.7,-0.053,1228.6,1163
2,"Huber",8,156280.2,118269.2,-0.241,1562.8,1182.7
2,"Huber",9,249594.9,116984.5,-0.53,2495.9,1169.8
2,"Huber",10,2084172,120302.2,-0.939,20841.7,1203
2,"L1",1,8370.2,117375.4,13.164,83.7,1173.8
2,"L1",2,36026,117629.1,2.273,360.3,1176.3
2,"L1",3,66192.5,117332.4,0.774,661.9,1173.3
2,"L1",4,105339.3,118230.7,0.123,1053.4,1182.3
2,"L1",5,115079.1,118672.9,0.031,1150.8,1186.7
2,"L1",6,118658.4,118370.9,-0.002,1186.6,1183.7
2,"L1",7,122862.8,117713.1,-0.042,1228.6,1177.1
2,"L1",8,156280.2,117833.2,-0.244,1562.8,1178.3
2,"L1",9,249594.9,124316.6,-0.502,2495.9,1243.2
2,"L1",10,2084172,118671.8,-0.94,20841.7,1186.7
2,"LSE",1,8370.2,280369.6,33.105,83.7,2803.7
2,"LSE",2,36026,308778.9,7.653,360.3,3087.8
2,"LSE",3,66192.5,299710.1,3.537,661.9,2997.1
2,"LSE",4,105339.3,253109.7,1.402,1053.4,2531.1
2,"LSE",5,115079.1,293291,1.549,1150.8,2932.9
2,"LSE",6,118658.4,257744.1,1.172,1186.6,2577.4
2,"LSE",7,122862.8,265783.1,1.163,1228.6,2657.8
2,"LSE",8,156280.2,281921.2,0.815,1562.8,2819.2
2,"LSE",9,249594.9,294712.1,0.186,2495.9,2947.1
2,"LSE",10,2084172,331028,-0.832,20841.7,3310.3
2,"PMM-auto",1,8370.2,271634.8,32.147,83.7,2716.3
2,"PMM-auto",2,36026,312370.3,7.751,360.3,3123.7
2,"PMM-auto",3,66192.5,293583.3,3.444,661.9,2935.8
2,"PMM-auto",4,105339.3,247179.6,1.346,1053.4,2471.8
2,"PMM-auto",5,115079.1,288525.8,1.508,1150.8,2885.3
2,"PMM-auto",6,118658.4,249130.3,1.099,1186.6,2491.3
2,"PMM-auto",7,122862.8,262560.3,1.137,1228.6,2625.6
2,"PMM-auto",8,156280.2,280735.7,0.806,1562.8,2807.4
2,"PMM-auto",9,249594.9,294137.2,0.183,2495.9,2941.4
2,"PMM-auto",10,2084172,332671.5,-0.83,20841.7,3326.7
2,"PMM-relaxed",1,8370.2,272168.4,32.206,83.7,2721.7
2,"PMM-relaxed",2,36026,317261,7.882,360.3,3172.6
2,"PMM-relaxed",3,66192.5,292732.9,3.432,661.9,2927.3
2,"PMM-relaxed",4,105339.3,246952.4,1.344,1053.4,2469.5
2,"PMM-relaxed",5,115079.1,288424,1.507,1150.8,2884.2
2,"PMM-relaxed",6,118658.4,251279.9,1.117,1186.6,2512.8
2,"PMM-relaxed",7,122862.8,262342.1,1.135,1228.6,2623.4
2,"PMM-relaxed",8,156280.2,281421.4,0.811,1562.8,2814.2
2,"PMM-relaxed",9,249594.9,289683.2,0.165,2495.9,2896.8
2,"PMM-relaxed",10,2084172,327030,-0.833,20841.7,3270.3
4,"Huber",1,8370.2,113510.6,12.704,83.7,1135.1
4,"Huber",2,36026,117074.4,2.257,360.3,1170.7
4,"Huber",3,66192.5,115672.9,0.749,661.9,1156.7
4,"Huber",4,105339.3,114387.7,0.086,1053.4,1143.9
4,"Huber",5,115079.1,114409.6,-0.006,1150.8,1144.1
4,"Huber",6,118658.4,114138.8,-0.038,1186.6,1141.4
4,"Huber",7,122862.8,116326.5,-0.053,1228.6,1163.3
4,"Huber",8,156280.2,118249.7,-0.241,1562.8,1182.5
4,"Huber",9,249594.9,117109.5,-0.53,2495.9,1171.1
4,"Huber",10,2084172,120066,-0.939,20841.7,1200.7
4,"L1",1,8370.2,117341.2,13.162,83.7,1173.4
4,"L1",2,36026,118095.2,2.286,360.3,1181
4,"L1",3,66192.5,117392.4,0.775,661.9,1173.9
4,"L1",4,105339.3,119094.7,0.132,1053.4,1190.9
4,"L1",5,115079.1,117722.1,0.023,1150.8,1177.2
4,"L1",6,118658.4,117569.7,-0.009,1186.6,1175.7
4,"L1",7,122862.8,128575.6,0.048,1228.6,1285.8
4,"L1",8,156280.2,117950.5,-0.244,1562.8,1179.5
4,"L1",9,249594.9,119479,-0.52,2495.9,1194.8
4,"L1",10,2084172,118158.4,-0.94,20841.7,1181.6
4,"LSE",1,8370.2,271799.3,32.195,83.7,2718
4,"LSE",2,36026,310519.6,7.702,360.3,3105.2
4,"LSE",3,66192.5,298310.1,3.516,661.9,2983.1
4,"LSE",4,105339.3,253177.9,1.403,1053.4,2531.8
4,"LSE",5,115079.1,294573.9,1.561,1150.8,2945.7
4,"LSE",6,118658.4,253650.1,1.137,1186.6,2536.5
4,"LSE",7,122862.8,268247.7,1.183,1228.6,2682.5
4,"LSE",8,156280.2,280278.4,0.803,1562.8,2802.8
4,"LSE",9,249594.9,298117.4,0.199,2495.9,2981.2
4,"LSE",10,2084172,332007.1,-0.831,20841.7,3320.1
4,"PMM-auto",1,8370.2,270202.3,31.982,83.7,2702
4,"PMM-auto",2,36026,310437.7,7.697,360.3,3104.4
4,"PMM-auto",3,66192.5,294667.1,3.461,661.9,2946.7
4,"PMM-auto",4,105339.3,248162.5,1.355,1053.4,2481.6
4,"PMM-auto",5,115079.1,284930.1,1.477,1150.8,2849.3
4,"PMM-auto",6,118658.4,249829.1,1.105,1186.6,2498.3
4,"PMM-auto",7,122862.8,270230.3,1.199,1228.6,2702.3
4,"PMM-auto",8,156280.2,283478,0.824,1562.8,2834.8
4,"PMM-auto",9,249594.9,293556.3,0.181,2495.9,2935.6
4,"PMM-auto",10,2084172,336571.1,-0.828,20841.7,3365.7
4,"PMM-relaxed",1,8370.2,270735.9,32.041,83.7,2707.4
4,"PMM-relaxed",2,36026,315328.4,7.828,360.3,3153.3
4,"PMM-relaxed",3,66192.5,293816.8,3.448,661.9,2938.2
4,"PMM-relaxed",4,105339.3,247935.3,1.353,1053.4,2479.4
4,"PMM-relaxed",5,115079.1,284828.3,1.476,1150.8,2848.3
4,"PMM-relaxed",6,118658.4,251978.7,1.123,1186.6,2519.8
4,"PMM-relaxed",7,122862.8,270012.1,1.197,1228.6,2700.1
4,"PMM-relaxed",8,156280.2,284163.7,0.829,1562.8,2841.6
4,"PMM-relaxed",9,249594.9,289102.3,0.163,2495.9,2891
4,"PMM-relaxed",10,2084172,330929.5,-0.831,20841.7,3309.3
8,"Huber",1,8370.2,113318.3,12.678,83.7,1133.2
8,"Huber",2,36026,117057.8,2.257,360.3,1170.6
8,"Huber",3,66192.5,115479.6,0.746,661.9,1154.8
8,"Huber",4,105339.3,114459.2,0.087,1053.4,1144.6
8,"Huber",5,115079.1,114308.9,-0.007,1150.8,1143.1
8,"Huber",6,118658.4,114201,-0.038,1186.6,1142
8,"Huber",7,122862.8,116181.1,-0.054,1228.6,1161.8
8,"Huber",8,156280.2,118243.9,-0.241,1562.8,1182.4
8,"Huber",9,249594.9,117111.5,-0.53,2495.9,1171.1
8,"Huber",10,2084172,120299.6,-0.939,20841.7,1203
8,"L1",1,8370.2,116879.1,13.101,83.7,1168.8
8,"L1",2,36026,117476.1,2.269,360.3,1174.8
8,"L1",3,66192.5,114501,0.731,661.9,1145
8,"L1",4,105339.3,122487.9,0.165,1053.4,1224.9
8,"L1",5,115079.1,117365.7,0.02,1150.8,1173.7
8,"L1",6,118658.4,117130.6,-0.013,1186.6,1171.3
8,"L1",7,122862.8,117635.2,-0.042,1228.6,1176.4
8,"L1",8,156280.2,117927.2,-0.244,1562.8,1179.3
8,"L1",9,249594.9,122536.7,-0.509,2495.9,1225.4
8,"L1",10,2084172,117925.6,-0.94,20841.7,1179.3
8,"LSE",1,8370.2,265411,31.381,83.7,2654.1
8,"LSE",2,36026,310935.8,7.712,360.3,3109.4
8,"LSE",3,66192.5,296049.7,3.482,661.9,2960.5
8,"LSE",4,105339.3,248135.8,1.356,1053.4,2481.4
8,"LSE",5,115079.1,283883.8,1.468,1150.8,2838.8
8,"LSE",6,118658.4,248491,1.094,1186.6,2484.9
8,"LSE",7,122862.8,271583,1.21,1228.6,2715.8
8,"LSE",8,156280.2,283376.7,0.824,1562.8,2833.8
8,"LSE",9,249594.9,297362.7,0.196,2495.9,2973.6
8,"LSE",10,2084172,342989.7,-0.825,20841.7,3429.9
8,"PMM-auto",1,8370.2,269475.6,31.906,83.7,2694.8
8,"PMM-auto",2,36026,308813.8,7.651,360.3,3088.1
8,"PMM-auto",3,66192.5,294191.4,3.454,661.9,2941.9
8,"PMM-auto",4,105339.3,249662.8,1.37,1053.4,2496.6
8,"PMM-auto",5,115079.1,287118.1,1.496,1150.8,2871.2
8,"PMM-auto",6,118658.4,249468.6,1.102,1186.6,2494.7
8,"PMM-auto",7,122862.8,271151,1.206,1228.6,2711.5
8,"PMM-auto",8,156280.2,284758,0.832,1562.8,2847.6
8,"PMM-auto",9,249594.9,291771.8,0.174,2495.9,2917.7
8,"PMM-auto",10,2084172,344214.6,-0.824,20841.7,3442.1
8,"PMM-relaxed",1,8370.2,269276.8,31.884,83.7,2692.8
8,"PMM-relaxed",2,36026,311999,7.736,360.3,3120
8,"PMM-relaxed",3,66192.5,289850.8,3.39,661.9,2898.5
8,"PMM-relaxed",4,105339.3,248913.4,1.363,1053.4,2489.1
8,"PMM-relaxed",5,115079.1,286637.1,1.492,1150.8,2866.4
8,"PMM-relaxed",6,118658.4,249921.6,1.106,1186.6,2499.2
8,"PMM-relaxed",7,122862.8,271492.5,1.209,1228.6,2714.9
8,"PMM-relaxed",8,156280.2,284140,0.828,1562.8,2841.4
8,"PMM-relaxed",9,249594.9,290054,0.167,2495.9,2900.5
8,"PMM-relaxed",10,2084172,341166.7,-0.826,20841.7,3411.7
16,"Huber",1,8370.2,113060.4,12.65,83.7,1130.6
16,"Huber",2,36026,116829.4,2.251,360.3,1168.3
16,"Huber",3,66192.5,115314.1,0.744,661.9,1153.1
16,"Huber",4,105339.3,114439.2,0.087,1053.4,1144.4
16,"Huber",5,115079.1,114263.8,-0.007,1150.8,1142.6
16,"Huber",6,118658.4,114448.6,-0.035,1186.6,1144.5
16,"Huber",7,122862.8,116116.9,-0.055,1228.6,1161.2
16,"Huber",8,156280.2,118248.8,-0.241,1562.8,1182.5
16,"Huber",9,249594.9,117199.8,-0.529,2495.9,1172
16,"Huber",10,2084172,120166.6,-0.939,20841.7,1201.7
16,"L1",1,8370.2,116992.7,13.115,83.7,1169.9
16,"L1",2,36026,117529.3,2.271,360.3,1175.3
16,"L1",3,66192.5,114602.9,0.733,661.9,1146
16,"L1",4,105339.3,117260.9,0.114,1053.4,1172.6
16,"L1",5,115079.1,117834.4,0.024,1150.8,1178.3
16,"L1",6,118658.4,117311.4,-0.011,1186.6,1173.1
16,"L1",7,122862.8,117749.6,-0.041,1228.6,1177.5
16,"L1",8,156280.2,118073.6,-0.243,1562.8,1180.7
16,"L1",9,249594.9,119250.3,-0.521,2495.9,1192.5
16,"L1",10,2084172,118591.7,-0.94,20841.7,1185.9
16,"LSE",1,8370.2,265411,31.381,83.7,2654.1
16,"LSE",2,36026,310935.8,7.712,360.3,3109.4
16,"LSE",3,66192.5,296049.7,3.482,661.9,2960.5
16,"LSE",4,105339.3,248135.8,1.356,1053.4,2481.4
16,"LSE",5,115079.1,283883.8,1.468,1150.8,2838.8
16,"LSE",6,118658.4,248491,1.094,1186.6,2484.9
16,"LSE",7,122862.8,271583,1.21,1228.6,2715.8
16,"LSE",8,156280.2,283376.7,0.824,1562.8,2833.8
16,"LSE",9,249594.9,297362.7,0.196,2495.9,2973.6
16,"LSE",10,2084172,342989.7,-0.825,20841.7,3429.9
16,"PMM-auto",1,8370.2,267480.1,31.65,83.7,2674.8
16,"PMM-auto",2,36026,308722.8,7.649,360.3,3087.2
16,"PMM-auto",3,66192.5,292623.6,3.43,661.9,2926.2
16,"PMM-auto",4,105339.3,247952.8,1.354,1053.4,2479.5
16,"PMM-auto",5,115079.1,280835.2,1.441,1150.8,2808.4
16,"PMM-auto",6,118658.4,247645.8,1.087,1186.6,2476.5
16,"PMM-auto",7,122862.8,273154,1.223,1228.6,2731.5
16,"PMM-auto",8,156280.2,286799.6,0.846,1562.8,2868
16,"PMM-auto",9,249594.9,293442.4,0.181,2495.9,2934.4
16,"PMM-auto",10,2084172,349779.5,-0.821,20841.7,3497.8
16,"PMM-relaxed",1,8370.2,267281.3,31.627,83.7,2672.8
16,"PMM-relaxed",2,36026,311907.9,7.734,360.3,3119.1
16,"PMM-relaxed",3,66192.5,288283,3.366,661.9,2882.8
16,"PMM-relaxed",4,105339.3,247203.4,1.347,1053.4,2472
16,"PMM-relaxed",5,115079.1,280354.2,1.437,1150.8,2803.5
16,"PMM-relaxed",6,118658.4,248098.9,1.091,1186.6,2481
16,"PMM-relaxed",7,122862.8,273495.5,1.226,1228.6,2735
16,"PMM-relaxed",8,156280.2,286181.6,0.842,1562.8,2861.8
16,"PMM-relaxed",9,249594.9,291724.6,0.174,2495.9,2917.2
16,"PMM-relaxed",10,2084172,346731.6,-0.823,20841.7,3467.3
